# spotanim — 95 Tombs of Amascut records from cache.osrs239
# id	symbol
2125	tumekens_shadow_casting
2126	tumekens_shadow_travel
2127	tumekens_shadow_impact
2128	keris_partisan_special01
2129	crondis_column_trap_anim
2130	crondis_column_trap_anim_2
2131	crondis_column_trap_anim_3
2132	toa_path_apmeken_gain_sight
2133	toa_path_apmeken_lose_sight
2134	toa_path_apmeken_sight_warning
2135	toa_path_apmeken_sight_warning02
2136	toa_path_apmeken_sight_floor
2137	toa_path_apmeken_gain_cursed
2138	toa_path_apmeken_gas
2139	toa_path_apmeken_rubble
2140	kephri_lightning
2141	kephri_shield_alive
2142	kephri_shield_dead
2143	kephri_shield_death
2144	kephri_shield_reform
2145	kephri_dung_drop
2146	kephri_indicate_player_for_dung
2147	kephri_kamikaze_scarab
2148	kephri_kamikaze_scarab_explode
2149	toa_kephri_mage_charge
2150	toa_kephri_melee_heal
2151	toa_kephri_mage_integrate
2152	toa_scarab_ranged_projectile01
2153	toa_scarab_ranged_impact01
2154	toa_scarab_ranged_projectile02
2155	toa_scarab_ranged_impact02
2172	zebak_safespot_travel
2173	zebak_waterjug_travel
2174	zebak_dustfall01
2175	zebak_melee_projanim_initial
2176	zebak_mage_projanim_initial
2177	zebak_mage_projanim_initial_enraged
2178	zebak_range_projanim_initial
2179	zebak_range_projanim_initial_enraged
2180	zebak_melee_projanim_split
2181	zebak_mage_projanim_split
2182	zebak_range_projanim_split
2183	spotanim_zebak_ranged01
2184	zebak_roar_wave_dust
2185	zebak_ranged_split
2186	zebak_mage_split
2187	zebak_ranged_fragment01
2188	zebak_ranged_fragment02
2189	zebak_ranged_fragment03
2190	zebak_ranged_fragment04
2191	zebak_shield_break
2192	zebak_waterjug_break
2193	zebak_waterjug_splash_travel
2194	zebak_vomit_projectile0
2195	zebak_rock_fall
2201	fx_wardens02_bloodwave01
2202	fx_wardens02_bloodwave02
2204	toa_wardens_prayer_melee_travel
2205	toa_wardens_prayer_melee_impact
2206	toa_wardens_prayer_ranged_travel
2207	toa_wardens_prayer_ranged_impact
2208	toa_wardens_prayer_magic_travel
2209	toa_wardens_prayer_magic_impact
2210	toa_wardens_entomb_travel
2211	toa_wardens_entomb_end
2212	toa_wardens_entomb_miss
2213	toa_wardens_magic_impact
2224	fx_wardens_bomb01
2225	fx_wardens_bomb02
2226	fx_wardens_bomb03
2227	fx_wardens_charging01
2242	toa_baboon_ranged_travel_1
2243	toa_baboon_ranged_travel_2
2244	toa_baba_ranged_travel
2245	toa_baba_balls_travel
2246	toa_baba_skull_proj
2247	toa_baboon_magic_travel_1
2248	toa_baboon_magic_travel_2
2250	toa_baba_rock_fall
2251	toa_baba_rock_fall_faster
2252	toa_baba_rock_fall_fastest
2253	akkha_magic_travel
2254	akkha_magic_impact
2255	akkha_ranged_travel
2256	akkha_lightning
2257	akkha_darkness
2258	akkha_burn
2259	akkha_freeze
2260	akkha_enrage_orb_impact
2953	zebak_roar_wave_dust_short
3027	toa_wardens_prayer_magic_travel_small
3763	akkha_lightning_small
3979	zebak_roar_wave_dust_short_90
3980	zebak_roar_wave_dust_short_180
3981	zebak_roar_wave_dust_short_270
