kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame,window
window_stage,frame,6925116,6015500,9991200,139488700,,,0
window_stage,async,425974,100,400,138765300,,,0
window_stage,logic,43138,30800,82700,1140600,,,0
window_stage,cs2,12909,0,36800,1140400,,,0
window_stage,layout,231,0,700,7900,,,0
window_stage,interact,11363,9800,20500,33000,,,0
window_stage,emit,11027,8900,21300,76600,,,0
window_stage,paint,959972,882100,1510000,3224400,,,0
window_stage,build,960198,882300,1510300,3224600,,,0
window_stage,render,5104285,4627600,8086300,12574600,,,0
window_stage,pick_finish,0,0,0,0,,,0
window_stage,present,129895,112800,202600,873600,,,0
window_stage,server,0,0,0,0,,,0
window_stage,platform_poll,71163,83300,160900,577400,,,0
window_stage,command_drain,717,600,1500,4600,,,0
window_stage,app_run,600790,100200,235200,138876700,,,0
window_stage,frame_post,33956,26100,74100,527500,,,0
window_stage,input_prep,74569,87000,164900,581600,,,0
window_stage,surface_sync,121,100,300,500,,,0
window_stage,display,6213563,5721900,9449500,14693100,,,0
window_stage,window_sync,214,200,600,1000,,,0
window_cpu,main_thread,6904539,5959235,9975739,140251900,,,0
window_cpu_info,cycle_normalized_estimate,,,,,,,0
window_cpu_raw,main_thread_calibration_clock_total,,,,,3453125000,6906250.000000,0
window_counter,uitree_find_id,,,,,279905,559.810000,0
window_counter,uitree_find_id_probes,,,,,319773,639.546000,0
window_counter,uitree_id_rebuild,,,,,10,0.020000,0
window_counter,uitree_find_child,,,,,1955,3.910000,0
window_counter,uitree_find_child_hit,,,,,12,0.024000,0
window_counter,uitree_find_child_ceil_miss,,,,,1893,3.786000,0
window_counter,uitree_walk_emit,,,,,55888,111.776000,0
window_counter,uitree_walk_hit,,,,,136180,272.360000,0
window_counter,uitree_walk_hover,,,,,21000,42.000000,0
window_counter,uitree_emit_skip,,,,,48902,97.804000,0
window_counter,uitree_layout_resolve,,,,,174,0.348000,0
window_counter,uitree_layout_skip,,,,,162,0.324000,0
window_counter,uitree_layout_nodes,,,,,8143,16.286000,0
window_counter,uitree_layout_node_skip,,,,,6060,12.120000,0
window_counter,uitree_layout_depth_recompute,,,,,8,0.016000,0
window_counter,uitree_ensure_layout,,,,,1209,2.418000,0
window_counter,uitree_cc_create,,,,,1822,3.644000,0
window_counter,uitree_cc_deleteall,,,,,10,0.020000,0
window_counter,uitree_cc_deleteall_rows,,,,,906,1.812000,0
window_counter,uitree_apply_geo,,,,,2926,5.852000,0
window_counter,uitree_apply_content,,,,,54,0.108000,0
window_counter,uitree_apply_hook,,,,,69,0.138000,0
window_counter,uitree_apply_other,,,,,251451,502.902000,0
window_gauge,uitree_components,,,,,1072,1072.000000,0
window_gauge,uitree_capacity,,,,,2048,2048.000000,0
window_gauge,uitree_node_bytes,,,,,4259840,4259840.000000,0
window_counter,cs2_scripts,,,,,988,1.976000,0
window_counter,cs2_opcodes,,,,,73448,146.896000,0
window_counter,cs2_host_ops,,,,,11437,22.874000,0
window_counter,cs2_cycles,,,,,73448,146.896000,0
window_counter,cs2_vm_acquire,,,,,866,1.732000,0
window_counter,cs2_vm_pool_hit,,,,,865,1.730000,0
window_counter,cs2_vm_pool_miss,,,,,1,0.002000,0
window_counter,cs2_vm_init_ns,,,,,850500,1701.000000,0
window_counter,cs2_frame_pool_hit,,,,,1236,2.472000,0
window_counter,cs2_frame_pool_miss,,,,,7,0.014000,0
window_counter,cache_model_hit,,,,,5349,10.698000,0
window_counter,cache_model_miss,,,,,827,1.654000,0
window_counter,cache_sprite_hit,,,,,201,0.402000,0
window_counter,cache_sprite_miss,,,,,139,0.278000,0
window_counter,painter_pops,,,,,9410700,18821.400000,0
window_counter,painter_gate_rejects,,,,,4093778,8187.556000,0
window_counter,painter_pushes,,,,,9410700,18821.400000,0
window_counter,painter_push_dedup,,,,,4282980,8565.960000,0
window_counter,painter_drain_events,,,,,1976,3.952000,0
window_gauge,painter_commands,,,,,4946,4946.000000,0
window_gauge,painter_tiles_remaining_set,,,,,9778,9778.000000,0
window_counter,iface_open,,,,,1,0.002000,0
