framemap_id,seq_id,frame_count,seq_name
344,0,14,swarm_walk
344,1,11,swarm_attack
344,2,23,swarm_block
227,3,4,paintball
225,4,5,paintsplash
227,5,4,paintball_travel
277,6,16,boulder_rolling
1540,7,12,lore_bird_chathead_happy
1540,8,12,lore_bird_chathead_idle
1540,9,23,lore_bird_chathead_quizical
335,10,8,shark_walk
335,11,10,shark_divedown
335,12,10,shark_diveup
0,13,8,ghosthuman_walk_forward
0,14,11,ibansboltcasting
0,15,12,ghosthuman_ready
284,16,8,dm_walk
284,17,2,dm_ready
284,18,13,dm_attack
284,19,9,dm_block
284,20,9,dm_death
1080,21,16,bdrag_walk
0,22,23,anma_chopping_failed_trailblazer_axe_no_infernal
0,23,24,human_canoeing_carve_trailblazer_axe_no_infernal
0,24,6,human_woodcutting_trailblazer_axe_no_infernal
1080,25,17,bdrag_attack
1080,26,15,bdrag_block
1080,27,12,bdrag_ready
1080,28,36,bdrag_death
273,29,8,bat_walk
273,30,7,bat_attack
273,31,6,bat_parry
273,32,8,bat_walkbackwards
273,33,8,bat_walkleft
273,34,8,bat_walkright
273,35,8,bat_ready
273,36,9,bat_death
275,37,8,bear_walk
275,38,8,bear_walkbackwards
275,39,8,bear_walkleft
275,40,8,bear_walkright
275,41,5,bear_attack
275,42,8,bear_block
275,43,2,bear_ready
275,44,9,bear_death
279,45,8,camel_walk
279,46,8,camel_walkbackwards
279,47,8,camel_walkleft
279,48,8,camel_walkright
279,49,7,camel_attack
279,50,8,camel_block
279,51,2,camel_ready
279,52,5,camel_death
281,53,4,chicken_walk
281,54,2,chicken_ready
281,55,4,chicken_attack
281,56,5,chicken_block
281,57,7,chicken_death
282,58,8,cow_walk
282,59,4,cow_attack
282,60,4,cow_block
282,61,26,cow_ready
282,62,9,cow_death
1078,63,20,demon_walk
1078,64,18,demon_attack
1078,65,20,demon_block
1078,66,11,demon_ready
1078,67,37,demon_death
1078,68,37,demon_death_greater
1078,69,27,demon_casting
286,70,9,demon_portal
286,71,12,demon_portalend
286,72,12,demon_portalend_reverse
285,73,16,deadtree_attack
288,74,8,dog_walk
288,75,4,dog_attack
288,76,8,dog_block
288,77,2,dog_ready
288,78,9,dog_death
1080,79,16,dragon_walk
1080,80,17,dragon_attack
1080,81,30,dragon_firebreath_all_attack
1080,82,30,dragon_firebreath_left_attack
1080,83,30,dragon_firebreath_right_attack
1080,84,30,dragon_firebreath_middle_attack
0,85,33,human_woodcrafting_axe_trailblazer_no_infernal
1090,86,20,dragon_firebreath_attack
0,87,24,brut_human_canoeing_carve_trailblazer_axe_no_infernal
0,88,42,human_harpoon_trailblazer_no_infernal
1080,89,21,dragon_block
1080,90,12,dragon_ready
1080,91,11,dragon_head_attack
1080,92,36,dragon_death
295,93,8,dryhad_walk
295,94,5,dryhad_attack
295,95,5,dryhad_block
295,96,2,dryhad_ready
295,97,5,dryhad_death
297,98,8,dwarf_walk
297,99,7,dwarf_attack
297,100,6,dwarf_block
297,101,4,dwarf_ready
297,102,9,dwarf_death
297,103,25,dwarf_drunkangry
297,104,8,dwarf_drunkwalk
297,105,18,dwarf_drunkwave
299,106,8,fairy_walk
299,107,8,fairy_walkbackwards
299,108,8,fairy_walkleft
299,109,8,fairy_walkright
299,110,7,fairy_attack
299,111,6,fairy_block
299,112,2,fairy_ready
299,113,9,fairy_death
300,114,8,firebird_walk
300,115,5,firebird_attack
300,116,5,firebird_block
300,117,2,firebird_ready
300,118,5,firebird_death
301,119,8,ghost_walk
301,120,8,ghost_walkbackwards
301,121,8,ghost_walkleft
301,122,8,ghost_walkright
301,123,10,ghost_attack
301,124,9,ghost_block
301,125,2,ghost_ready
301,126,9,ghost_death
302,127,8,giant_walk
302,128,7,giant_attack
302,129,8,giant_block
302,130,4,giant_ready
302,131,9,giant_death
302,132,18,giant_casting
302,133,16,giant_teleport
302,134,16,giant_teleport_reverse
303,135,16,g_teleport
303,136,15,g_teleport_reverse
305,137,8,giantrat_walk
305,138,3,giantrat_attack
305,139,8,giantrat_block
305,140,2,giantrat_ready
305,141,5,giantrat_death
306,142,6,giantspider_walk
306,143,3,giantspider_attack
306,144,3,giantspider_block
306,145,2,giantspider_ready
306,146,5,giantspider_death
306,147,13,giantspider_casting
306,148,9,giantspider_teleport
306,149,9,giantspider_teleport_reverse
307,150,9,s_teleport
307,151,9,s_teleport_reverse
310,152,8,golem_walk
310,153,8,golem_attack
310,154,8,golem_block
310,155,4,golem_ready
310,156,9,golem_death
311,157,8,hell_walk
311,158,6,hell_attack
311,159,8,hell_block
311,160,2,hell_ready
311,161,9,hell_death
312,162,8,hobgoblin_walk
312,163,4,hobgoblin_attack
312,164,4,hobgoblin_attackunarmed
312,165,8,hobgoblin_block
312,166,2,hobgoblin_ready
312,167,9,hobgoblin_death
1240,168,8,imp_walk
1240,169,12,imp_attack
