raid,tick,tick_is_maiden_id_change,crabs_this_spawn,x,y
0040a5bf-747d-4261-87b2-d3bdfeb4d654,53,True,4,3185,4438
0040a5bf-747d-4261-87b2-d3bdfeb4d654,53,True,4,3173,4436
0040a5bf-747d-4261-87b2-d3bdfeb4d654,53,True,4,3185,4454
0040a5bf-747d-4261-87b2-d3bdfeb4d654,53,True,4,3185,4456
0040a5bf-747d-4261-87b2-d3bdfeb4d654,108,True,4,3173,4436
0040a5bf-747d-4261-87b2-d3bdfeb4d654,108,True,4,3181,4436
0040a5bf-747d-4261-87b2-d3bdfeb4d654,108,True,4,3181,4456
0040a5bf-747d-4261-87b2-d3bdfeb4d654,108,True,4,3185,4436
0040a5bf-747d-4261-87b2-d3bdfeb4d654,152,True,4,3173,4436
0040a5bf-747d-4261-87b2-d3bdfeb4d654,152,True,4,3185,4454
0040a5bf-747d-4261-87b2-d3bdfeb4d654,152,True,4,3185,4456
0040a5bf-747d-4261-87b2-d3bdfeb4d654,152,True,4,3181,4436
022818d8-fd8c-46ef-8eb2-3319b641554c,39,True,10,3173,4456
022818d8-fd8c-46ef-8eb2-3319b641554c,39,True,10,3177,4456
022818d8-fd8c-46ef-8eb2-3319b641554c,39,True,10,3181,4456
022818d8-fd8c-46ef-8eb2-3319b641554c,39,True,10,3185,4456
022818d8-fd8c-46ef-8eb2-3319b641554c,39,True,10,3185,4454
022818d8-fd8c-46ef-8eb2-3319b641554c,39,True,10,3185,4438
022818d8-fd8c-46ef-8eb2-3319b641554c,39,True,10,3185,4436
022818d8-fd8c-46ef-8eb2-3319b641554c,39,True,10,3181,4436
022818d8-fd8c-46ef-8eb2-3319b641554c,39,True,10,3177,4436
022818d8-fd8c-46ef-8eb2-3319b641554c,39,True,10,3173,4436
022818d8-fd8c-46ef-8eb2-3319b641554c,94,True,10,3173,4456
022818d8-fd8c-46ef-8eb2-3319b641554c,94,True,10,3177,4456
022818d8-fd8c-46ef-8eb2-3319b641554c,94,True,10,3181,4456
022818d8-fd8c-46ef-8eb2-3319b641554c,94,True,10,3185,4456
022818d8-fd8c-46ef-8eb2-3319b641554c,94,True,10,3185,4454
022818d8-fd8c-46ef-8eb2-3319b641554c,94,True,10,3185,4438
022818d8-fd8c-46ef-8eb2-3319b641554c,94,True,10,3185,4436
022818d8-fd8c-46ef-8eb2-3319b641554c,94,True,10,3181,4436
022818d8-fd8c-46ef-8eb2-3319b641554c,94,True,10,3177,4436
022818d8-fd8c-46ef-8eb2-3319b641554c,94,True,10,3173,4436
022818d8-fd8c-46ef-8eb2-3319b641554c,149,True,10,3173,4456
022818d8-fd8c-46ef-8eb2-3319b641554c,149,True,10,3177,4456
022818d8-fd8c-46ef-8eb2-3319b641554c,149,True,10,3181,4456
022818d8-fd8c-46ef-8eb2-3319b641554c,149,True,10,3185,4456
022818d8-fd8c-46ef-8eb2-3319b641554c,149,True,10,3185,4454
022818d8-fd8c-46ef-8eb2-3319b641554c,149,True,10,3185,4438
022818d8-fd8c-46ef-8eb2-3319b641554c,149,True,10,3185,4436
022818d8-fd8c-46ef-8eb2-3319b641554c,149,True,10,3181,4436
